rank,text,normalized_text,freq,class,ids
1,of the,of the,18367070,keep_allowlist,"[292, 267]"
2,in the,in the,12963976,keep_allowlist,"[291, 267]"
3,to the,to the,7837307,keep_allowlist,"[287, 267]"
4,ed to,ed to,7202050,keep_phrase,"[285, 287]"
5,on the,on the,6215643,keep_allowlist,"[325, 267]"
6,ing to,ing to,5795509,keep_phrase,"[280, 287]"
7,ing the,ing the,5294647,keep_phrase,"[280, 267]"
8,for the,for the,4940589,keep_allowlist,"[321, 267]"
9,to be,to be,4909265,keep_allowlist,"[287, 326]"
10,and the,and the,4712661,keep_allowlist,"[290, 267]"
11,is a,is a,4392271,keep_allowlist,"[323, 261]"
12,the ,the,4281688,keep_single_word,"[267, 939]"
13,ed in,ed in,4088548,keep_phrase,"[285, 291]"
14,ed by,ed by,3894464,keep_phrase,"[285, 437]"
15,with the,with the,3838871,keep_allowlist,"[345, 267]"
16,at the,at the,3687815,keep_allowlist,"[383, 267]"
17,from the,from the,3257067,keep_allowlist,"[424, 267]"
18,ed the,ed the,2896926,keep_phrase,"[285, 267]"
19,will be,will be,2837378,keep_allowlist,"[434, 326]"
20,him,him,2765398,keep_single_word,"[298, 336]"
21,es and,es and,2688370,keep_phrase,"[276, 290]"
22,did,did,2660786,keep_single_word,"[293, 322]"
23,is the,is the,2608795,keep_phrase,"[323, 267]"
24,ing and,ing and,2564014,keep_phrase,"[280, 290]"
25,as a,as a,2533095,keep_allowlist,"[366, 261]"
26,such,such,2495742,keep_single_word,"[454, 350]"
27,think,think,2484631,keep_single_word,"[300, 630]"
28,But,but,2481249,keep_single_word,"[348, 340]"
29,es of,es of,2428281,keep_phrase,"[276, 292]"
30,omet,omet,2413931,keep_single_word,"[297, 315]"
31,that the,that the,2407320,keep_allowlist,"[346, 267]"
32,by the,by the,2385497,keep_allowlist,"[437, 267]"
33,again,again,2363654,keep_single_word,"[632, 430]"
34,ener,ener,2332899,keep_single_word,"[279, 266]"
35,diffe,diffe,2330510,keep_single_word,"[826, 482]"
