rank,text,normalized_text,freq,score,action,reasons,ids
1,somet,somet,1875116,-999,drop,explicit_bad_fragment,"[268, 297, 315]"
2,different,different,1854344,15,keep,full_word_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[826, 482, 726]"
3,between,between,1758302,15,keep,full_word_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[752, 749, 279]"
4,market,market,1744585,21,keep,full_word_allowlist;good_prefix_stem_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[288, 584, 315]"
5,program,program,1682442,21,keep,full_word_allowlist;good_prefix_stem_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[367, 715, 330]"
6,gener,gener,1578672,-999,drop,explicit_bad_fragment,"[314, 279, 266]"
7,little,little,1576720,15,keep,full_word_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[304, 685, 294]"
8,techn,techn,1558028,11,keep,good_prefix_stem_allowlist;clean_alpha;prefix_like,"[532, 350, 945]"
9,Americ,americ,1547979,4,review_keep,clean_alpha;plausible_vowel_ratio;good_length;prefix_like;bad_end_shape,"[317, 640, 295]"
10,omething,omething,1544825,-999,drop,explicit_bad_fragment,"[297, 315, 820]"
11,ross,ross,1538575,-999,drop,explicit_bad_fragment,"[307, 946, 946]"
12,open,open,1531343,14,keep,full_word_allowlist;clean_alpha;plausible_vowel_ratio;prefix_like,"[283, 954, 279]"
13,custom,custom,1526107,21,keep,full_word_allowlist;good_prefix_stem_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[274, 419, 297]"
14,terest,terest,1508975,-999,drop,explicit_bad_fragment,"[468, 264, 308]"
15,intere,intere,1440781,8,keep,clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[291, 468, 264]"
16,always,always,1436629,15,keep,full_word_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[357, 958, 575]"
17,ield,ield,1415120,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[944, 334, 950]"
18,available,available,1411117,14,keep,full_word_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like;suffix_like;tail_only_feel,"[906, 508, 501]"
19,effect,effect,1402261,15,keep,full_word_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[310, 956, 771]"
20,group,group,1395358,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[314, 462, 954]"
21,important,important,1379593,15,keep,full_word_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[545, 631, 415]"
22,direct,direct,1345850,15,keep,full_word_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[293, 553, 316]"
23,data,data,1345054,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[293, 271, 942]"
24,number,number,1338712,15,keep,full_word_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[312, 421, 528]"
25,since,since,1336485,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[268, 262, 351]"
26,problem,problem,1317806,15,keep,full_word_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[367, 890, 953]"
27,public,public,1283034,21,keep,full_word_allowlist;good_prefix_stem_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[282, 563, 692]"
28,power,power,1277738,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[282, 328, 266]"
29,iversity,iversity,1246414,9,keep,clean_alpha;plausible_vowel_ratio;good_length;prefix_like;suffix_like,"[944, 667, 409]"
30,against,against,1230981,8,keep,clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[632, 430, 308]"
31,simp,simp,1197576,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[268, 336, 954]"
32,belie,belie,1196708,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[326, 949, 441]"
33,order,order,1188234,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[386, 950, 266]"
34,chnolog,chnolog,1160814,-999,drop,explicit_bad_fragment,"[350, 945, 877]"
35,ribut,ribut,1160228,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[405, 959, 340]"
36,current,current,1157159,8,keep,clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[274, 343, 726]"
37,away,away,1107988,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[261, 958, 324]"
38,govern,govern,1107164,14,keep,good_prefix_stem_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[566, 338, 945]"
39,children,children,1106013,8,keep,clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[435, 628, 660]"
40,vernment,vernment,1103425,-999,drop,explicit_bad_fragment,"[338, 945, 391]"
41,present,present,1080347,8,keep,clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[282, 448, 303]"
42,ference,ference,1075382,9,keep,clean_alpha;plausible_vowel_ratio;good_length;prefix_like;suffix_like,"[482, 660, 351]"
43,money,money,1067343,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[288, 503, 957]"
44,understand,understand,1057764,5,review_keep,clean_alpha;plausible_vowel_ratio;good_length,"[814, 308, 436]"
45,embers,embers,1054534,8,keep,clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[411, 959, 356]"
46,Christ,christ,1052496,4,review_keep,clean_alpha;good_length;suffix_like,"[577, 947, 404]"
47,fession,fession,1051491,8,keep,clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[956, 382, 299]"
48,course,course,1046468,8,keep,clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[274, 378, 371]"
49,until,until,1046266,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[552, 941, 301]"
50,profess,profess,1039938,14,keep,good_prefix_stem_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[367, 956, 382]"
51,iety,iety,1039730,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[944, 315, 957]"
52,employ,employ,1033136,8,keep,clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[727, 538, 643]"
53,large,large,1030703,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[304, 289, 376]"
54,often,often,1017690,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[292, 941, 279]"
55,success,success,1016343,21,keep,full_word_allowlist;good_prefix_stem_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[454, 516, 382]"
56,visit,visit,1006945,3,drop,clean_alpha;plausible_vowel_ratio;short_ambiguous_fragment,"[413, 278, 275]"
57,personal,personal,1006273,15,keep,full_word_allowlist;clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[282, 827, 286]"
58,enef,enef,1004579,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[279, 940, 956]"
59,together,together,1001093,8,keep,clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[287, 823, 389]"
60,learn,learn,998584,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[449, 289, 945]"
61,having,having,998398,5,review_keep,clean_alpha;plausible_vowel_ratio;good_length,"[377, 961, 280]"
62,times,times,997203,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[260, 336, 276]"
63,Univers,univers,996654,8,keep,clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[798, 944, 667]"
64,augh,augh,996185,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[942, 952, 464]"
65,bene,bene,984337,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[281, 279, 940]"
66,complete,complete,981103,8,keep,clean_alpha;plausible_vowel_ratio;good_length;prefix_like,"[488, 294, 468]"
67,conom,conom,977500,6,review_keep,clean_alpha;plausible_vowel_ratio;prefix_like;short_ambiguous_fragment,"[951, 265, 297]"
